"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categoryName","url"
"US Fried Chicken","4.3","132","129 Dwight St","Brooklyn","New York","US","https://www.usfriedchickenmenu.com/?utm_source=gbp","(718) 643-4662","Chicken restaurant","https://www.google.com/maps/search/?api=1&query=US%20Fried%20Chicken&query_place_id=ChIJ8znZhotawokRuUwDfpNwgfU"
"King's Fried Chicken & Burger","4.2","101","263 Schenectady Ave","Brooklyn","New York","US",,"(347) 240-0637","Fast food restaurant","https://www.google.com/maps/search/?api=1&query=King's%20Fried%20Chicken%20%26%20Burger&query_place_id=ChIJd3pFtCxdwokRVr-khGujhNU"
"375° Chicken 'n Fries","4.8","344","158 Lawrence St","Brooklyn","New York","US","https://www.375chicken.com/locations/downtown-brooklyn","(848) 200-2510","Fast food restaurant","https://www.google.com/maps/search/?api=1&query=375%C2%B0%20Chicken%20'n%20Fries&query_place_id=ChIJE5QEz8xbwokRNUVS1gamJHs"
"Kennedy Fried Chicken","4.2","20","1774 Lexington Ave","New York","New York","US",,"(646) 431-9243","Chicken restaurant","https://www.google.com/maps/search/?api=1&query=Kennedy%20Fried%20Chicken&query_place_id=ChIJtXG_Vrb3wokRxd6gtMzbOdk"
"Dallas Chicken & Biscuits","4.1","87","2027 Lexington Ave","New York","New York","US",,"(917) 261-5452","Fried chicken takeaway","https://www.google.com/maps/search/?api=1&query=Dallas%20Chicken%20%26%20Biscuits&query_place_id=ChIJofaq7w33wokRSp1ZrsQaMZI"
"Chicken Delight","4.2","132","7718 Bergenline Ave","North Bergen","New Jersey","US","http://chickendelightnb.com/","(201) 869-4900","Chicken restaurant","https://www.google.com/maps/search/?api=1&query=Chicken%20Delight&query_place_id=ChIJ3VqPiOD3wokRGMs6e0QdgMw"
"Tex's Chicken & Burgers","3.9","367","2144 Frederick Douglass Blvd","New York","New York","US","https://eattexs.com/locations/2144-frederick-douglass-blvd-new-york-ny-10026?utm_campaign=GoogleMyBusiness&utm_source=Google&utm_medium=LocalSearch","(646) 864-0914","Chicken restaurant","https://www.google.com/maps/search/?api=1&query=Tex's%20Chicken%20%26%20Burgers&query_place_id=ChIJFVAv6xb2wokRhngPfFNLaUQ"
"Koji Chicken","4.9","695","764 9th Ave","New York","New York","US","https://www.koji-chicken.com/","(646) 590-1170","Fried chicken takeaway","https://www.google.com/maps/search/?api=1&query=Koji%20Chicken&query_place_id=ChIJ5aa60bdZwokRMAJHizpx_O4"
"Tex’s Chicken & Burgers","4","296","1974 2nd Ave","New York","New York","US","https://eattexs.com/locations/1974-2nd-ave-new-york-ny-10029?utm_campaign=GoogleMyBusiness&utm_source=Google&utm_medium=LocalSearch","(212) 831-3701","Chicken restaurant","https://www.google.com/maps/search/?api=1&query=Tex%E2%80%99s%20Chicken%20%26%20Burgers&query_place_id=ChIJyYjZtqlYwokRbKsvlcO-Yfo"
"Rokstar Chicken Harlem","4.7","177","201 E 125th St","New York","New York","US","https://rokstarchicken.com/rokstarharlem?utm_source=google","(347) 649-8881","Chicken restaurant","https://www.google.com/maps/search/?api=1&query=Rokstar%20Chicken%20Harlem&query_place_id=ChIJifq0siD1wokRI6ZiqN5gvt0"
"Chicken Insider","4.6","336","1752 2nd Ave","New York","New York","US","https://chickeninsidernyc.com/","(646) 864-0034","Korean restaurant","https://www.google.com/maps/search/?api=1&query=Chicken%20Insider&query_place_id=ChIJnxU21TpZwokR63eHMuYPO68"
